"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Text Editing","Text Start","↖","Editing Text"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"File","New","⌘N","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Text Editing","Page Up","⌥V","Editing Text"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"View","Zoom In","⌘+","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Redo","⌃X R","In Windows"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Text Editing","Line End","⌃E","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Delete Next","⌃D","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"File","Properties","⌘I","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"File","Save","⌘S","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
